,id,week_1_pts_ppr,week_2_pts_ppr,week_3_pts_ppr,week_4_pts_ppr,week_5_pts_ppr,week_6_pts_ppr,week_7_pts_ppr,week_8_pts_ppr,week_9_pts_ppr,week_10_pts_ppr,week_11_pts_ppr,week_12_pts_ppr,week_13_pts_ppr,week_14_pts_ppr,week_15_pts_ppr,week_16_pts_ppr,week_17_pts_ppr,week_18_pts_ppr
81,8136,12.37,11.83,12.7,10.3,12.99,12.29,16.04,12.09,12.69,10.17,11.85,12.52,8.49,9.5,10.95,13.91,13.41,13.97
82,8138,11.47,12.23,14.27,3.01,13.58,12.38,2.0,9.13,9.11,8.15,12.51,10.24,15.52,13.55,9.67,9.32,9.24,9.44
83,8143,6.0,6.15,12.38,12.35,9.44,9.3,12.23,8.06,6.92,14.32,12.9,11.83,12.18,11.58,8.28,8.41,8.71,8.75
84,8144,13.8,13.89,10.8,12.85,18.55,13.79,10.83,12.88,11.65,9.9,12.48,15.44,13.49,14.12,13.27,12.15,11.68,11.63
85,8146,14.85,12.53,10.69,11.52,9.93,13.02,,12.91,9.81,14.87,21.43,11.46,13.52,13.24,13.54,9.63,9.34,9.71
86,8150,6.9,10.85,17.02,14.35,18.73,16.14,,5.72,14.52,5.21,8.62,10.42,14.66,10.07,10.82,8.98,8.53,8.98
87,8151,12.98,12.39,9.99,12.21,9.67,12.82,,14.06,1.66,6.15,12.87,13.67,13.8,9.32,13.55,13.51,13.76,13.64
88,8154,10.54,9.71,10.71,12.69,,11.06,,13.37,6.5,13.76,10.35,13.07,20.28,12.63,11.43,13.14,13.66,12.85
89,8155,10.14,10.54,8.65,12.47,,14.58,,14.02,11.93,18.63,8.05,14.77,,10.72,16.69,11.83,11.32,11.02
90,8162,19.18,17.36,13.72,10.95,,18.45,,8.2,17.46,11.24,14.64,9.75,,8.01,14.13,13.79,14.1,14.22
91,8205,11.88,10.78,4.93,10.45,,14.33,,14.8,12.38,,11.16,13.66,,13.69,10.22,14.31,13.77,13.77
92,8228,6.67,7.38,15.71,15.24,,8.26,,18.11,,,15.36,18.32,,13.38,10.13,15.92,15.37,14.95
93,8259,8.1,7.95,9.25,11.49,,16.15,,11.3,,,12.93,9.94,,12.47,18.76,14.7,14.7,15.02
94,9221,14.78,12.21,16.86,10.67,,16.84,,13.69,,,7.3,15.22,,15.18,9.83,10.22,10.45,10.45
95,9493,7.0,4.55,6.11,7.95,,1.69,,9.07,,,5.73,11.27,,7.71,13.19,12.69,12.21,12.21
96,9502,7.16,10.51,10.85,8.69,,6.81,,8.23,,,11.17,7.33,,5.18,10.98,18.76,19.19,19.19
97,9509,16.69,7.66,18.54,13.79,,13.39,,17.05,,,22.26,15.27,,11.32,8.01,9.79,9.49,9.87
98,9753,10.55,13.63,12.57,11.6,,18.54,,16.11,,,11.7,15.31,,19.42,14.5,14.61,13.93,13.19
99,9756,10.48,5.73,,15.05,,12.89,,9.48,,,,14.75,,10.6,12.35,11.44,11.49,11.34
100,9758,15.79,9.93,,10.76,,,,15.58,,,,15.03,,,14.86,7.87,7.87,7.8
101,9997,8.45,17.6,,16.73,,,,4.04,,,,9.18,,,14.57,13.6,13.42,14.02
102,,,11.19,,7.32,,,,13.28,,,,14.73,,,4.81,11.65,11.39,11.65
103,,,,,12.78,,,,18.16,,,,12.92,,,5.52,14.18,13.69,13.32
104,,,,,18.21,,,,13.25,,,,20.01,,,10.81,16.17,15.54,15.47
105,,,,,14.12,,,,,,,,13.64,,,20.38,4.72,4.89,5.0
106,,,,,,,,,,,,,,,,11.69,5.75,5.75,5.87
107,,,,,,,,,,,,,,,,,11.79,11.94,11.43
108,,,,,,,,,,,,,,,,,20.1,20.65,20.56
109,,,,,,,,,,,,,,,,,11.49,11.91,12.17
